Smiles,solvent,solvent_Smiles,chemical_shift,book_serial_num
C[Si](C)(C)C1=CC(B2Oc3ccccc3O2)=CC1[Si](C)(C)C1=CC(B2Oc3ccccc3O2)=CC1[Si](C)(C)C,CDCl3,[2H]C(Cl)(Cl)Cl,23,3508
CC(C)P(c1ccccc1B(c1ccccc1)c1ccccc1P(C(C)C)C(C)C)C(C)C,C6D6,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],43.1,3517
[BH3-][P+](Oc1c(C(C)(C)C)cc(C(C)(C)C)cc1C(C)(C)C)(c1ccccc1)c1ccccc1,CDCl3,[2H]C(Cl)(Cl)Cl,-38.6,3518
C[Sn](C)(C)C(C1B(n2c3ccccc3c3ccccc32)C2CCCCCCC1CC2)[Sn](C)(C)C,C6D6,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],60.8,3520
CC(C)CN(CC(C)C)B1OB(N(CC(C)C)CC(C)C)[C@H]2c3ccccc3[C@@H]1c1ccccc12,CDCl3,[2H]C(Cl)(Cl)Cl,28.2,3526
CC(C)CN(CC(C)C)B1OB(N(CC(C)C)CC(C)C)C2c3ccccc3-c3ccccc3C12,CDCl3,[2H]C(Cl)(Cl)Cl,35.9,3527
CCCCCCCC[Si@]1(C)OB(c2ccc(Br)cc2)O[Si@@](C)(CCCCCCCC)OB(c2ccc(Br)cc2)O1,CDCl3,[2H]C(Cl)(Cl)Cl,25.3,3530
CCCCCCCC[Si@]1(C)OB(c2cccc([N+](=O)[O-])c2)O[Si@@](C)(CCCCCCCC)OB(c2cccc([N+](=O)[O-])c2)O1,CDCl3,[2H]C(Cl)(Cl)Cl,26.3,3531
CC(C)P(C(C)C)(C(C)C)=[N+]1[B-]2(Oc3ccccc3O2)[N+](=P(C(C)C)(C(C)C)C(C)C)[B-]12Oc1ccccc1O2,C6D6,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],7.8,3534
CCCCCCCC[Si@]1(C)OB(c2ccccc2)O[Si@@](C)(CCCCCCCC)OB(c2ccccc2)O1,CDCl3,[2H]C(Cl)(Cl)Cl,25.1,3535
C[Si](C)(C)C(/C=C\C(=C1/CC2C[C@H]3CB1C[C@@H](C2)C3)[Si](C)(C)C)=C1/CC2C[C@H]3CB1C[C@@H](C2)C3,C6D6,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],79.9,3536
C[Si](C)(C)C(/C=C\C(=C1/C[C@@H]2C[C@@H]3CB1C[C@@H](C3)C2)[Si](C)(C)C)=C1\C[C@@H]2C[C@@H]3CB1C[C@@H](C3)C2,C6D6,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],78.3,3537
C[Si](C)(C)C12C=CC([Si](C)(C)C)(B3C4C[C@@H]5C[C@H](C4)C[C@@H](C5)C31)C13C[C@@H]4C[C@H](CB12)C[C@@H](C4)C3,C6D6,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],81.2,3538
CCCCCC[B-]1(CCCCCC)n2cc(I)c[n+]2[B-](CCCCCC)(CCCCCC)n2cc(I)c[n+]21,CDCl3,[2H]C(Cl)(Cl)Cl,3.58,3544
C[Si](C)(CCC1CC=CCC1)OB(O[Si](C)(C)CCC1CC=CCC1)O[Si](C)(C)CCC1CC=CCC1,CDCl3,[2H]C(Cl)(Cl)Cl,14.7,3545
