compound_id,Smiles,source_doi,nmr_11b_frequency_mhz,nmr_11b_solvent,nmr_11b_shifts_ppm
1d,C=C(B1Nc2cccc3cccc(c23)N1)c1ccc(C(F)(F)F)cc1,10-1039_c4cc01757a,,[2H]C(Cl)(Cl)Cl,29
1e,C=C(CCCCCC)B1Nc2cccc3cccc(c23)N1,10-1039_c4cc01757a,,[2H]C(Cl)(Cl)Cl,28.5
1f,C=C(B1Nc2cccc3cccc(c23)N1)C(C)(C)C,10-1039_c4cc01757a,,[2H]C(Cl)(Cl)Cl,30.1
1g,C=C(B1Nc2cccc3cccc(c23)N1)[Si](C)(C)C,10-1039_c4cc01757a,,[2H]C(Cl)(Cl)Cl,30.1
1h,C=C(COC)B1Nc2cccc3cccc(c23)N1,10-1039_c4cc01757a,,[2H]C(Cl)(Cl)Cl,27.9
1i,C=C(CCBr)B1Nc2cccc3cccc(c23)N1,10-1039_c4cc01757a,,[2H]C(Cl)(Cl)Cl,28.2
1j,C=C(CCCCC(=C)B1Nc2cccc3cccc(c23)N1)B1Nc2cccc3cccc(c23)N1,10-1039_c4cc01757a,,[2H]C(Cl)(Cl)Cl,28.8
1k,C=C(B1Nc2cccc3cccc(c23)N1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,10-1039_c4cc01757a,,[2H]C(Cl)(Cl)Cl,28.7
2,C=C(B1OC(C)(C)C(C)(C)O1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,10-1039_c4cc01757a,,[2H]C(Cl)(Cl)Cl,30.1
1,CC1(C)OB([Se]c2ccccc2)OC1(C)C,10-1039_c4cc02098g,128,[2H]C(Cl)(Cl)Cl,32.82
2a,C/C(Nc1c(C(C)C)cccc1C(C)C)=[N+](/[BH-](c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,10-1039_c5dt01966d,192,[2H]c1c([2H])c([2H])c(C([2H])([2H])[2H])c([2H])c1[2H],-13.3
2b,C/C(Nc1c(C(C)C)cccc1C(C)C)=[N+](/[BH-](c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)c1ccc(C#N)cc1,10-1039_c5dt01966d,192,[2H]c1c([2H])c([2H])c(C([2H])([2H])[2H])c([2H])c1[2H],-14.6
5,CC1=[N+](c2ccc(C#[N+][B-](c3c(F)c(F)c(F)c(F)c3F)(c3c(F)c(F)c(F)c(F)c3F)c3c(F)c(F)c(F)c(F)c3F)cc2)[B-](c2c(F)c(F)c(F)c(F)c2F)(c2c(F)c(F)c(F)c(F)c2F)N1c1c(C(C)C)cccc1C(C)C,10-1039_c5dt01966d,128,[2H]c1c([2H])c([2H])c(C([2H])([2H])[2H])c([2H])c1[2H],-5.64;-0.88
3a,CC1=[N+](c2c(F)c(F)c(F)c(F)c2F)[B-](c2c(F)c(F)c(F)c(F)c2F)(c2c(F)c(F)c(F)c(F)c2F)N1c1c(C(C)C)cccc1C(C)C,10-1039_c5dt01966d,192,[2H]c1c([2H])c([2H])c(C([2H])([2H])[2H])c([2H])c1[2H],7.52
6a,CC1=[N+](c2c(F)c(F)c(F)c(F)c2F)[B-](c2c(F)c(F)c(F)c(F)c2F)(c2c(F)c(F)c(F)c(F)c2F)C(=O)N1c1c(C(C)C)cccc1C(C)C,10-1039_c5dt01966d,192,[2H]c1c([2H])c([2H])c(C([2H])([2H])[2H])c([2H])c1[2H],-10.01
6b,CC1=[N+](c2ccc(C#N)cc2)[B-](c2c(F)c(F)c(F)c(F)c2F)(c2c(F)c(F)c(F)c(F)c2F)C(=O)N1c1c(C(C)C)cccc1C(C)C,10-1039_c5dt01966d,192,[2H]c1c([2H])c([2H])c(C([2H])([2H])[2H])c([2H])c1[2H],-10.2
3,CC1(C)OB(C(CCc2ccccc2)B2Nc3cccc4cccc(c34)N2)OC1(C)C,10-1039_c5ob01523e,128.3,[2H]C(Cl)(Cl)Cl,34.3
5,CC1(C)OB(C(B2Nc3cccc4cccc(c34)N2)C2CCCCC2)OC1(C)C,10-1039_c5ob01523e,128.3,[2H]C(Cl)(Cl)Cl,32.9
7,CC(C)C(B1Nc2cccc3cccc(c23)N1)B1OC(C)(C)C(C)(C)O1,10-1039_c5ob01523e,128.3,[2H]C(Cl)(Cl)Cl,34
9,CC(C)CC(B1Nc2cccc3cccc(c23)N1)B1OC(C)(C)C(C)(C)O1,10-1039_c5ob01523e,128.3,[2H]C(Cl)(Cl)Cl,33
11,CCCCCCC(B1Nc2cccc3cccc(c23)N1)B1OC(C)(C)C(C)(C)O1,10-1039_c5ob01523e,128.3,[2H]C(Cl)(Cl)Cl,33.9
13,CC(CCc1ccccc1)(B1Nc2cccc3cccc(c23)N1)B1OC(C)(C)C(C)(C)O1,10-1039_c5ob01523e,128.3,[2H]C(Cl)(Cl)Cl,35.6
15,CCCCC(C)(B1Nc2cccc3cccc(c23)N1)B1OC(C)(C)C(C)(C)O1,10-1039_c5ob01523e,128.3,[2H]C(Cl)(Cl)Cl,34.7
16a,CC1(C)OB(C2(B3Nc4cccc5cccc(c45)N3)CCC(C(F)(F)F)CC2)OC1(C)C,10-1039_c5ob01523e,128.3,[2H]C(Cl)(Cl)Cl,32.9
19a,CC(C)(C)C1CCC(B2Nc3cccc4cccc(c34)N2)(B2OC(C)(C)C(C)(C)O2)CC1,10-1039_c5ob01523e,128.3,[2H]C(Cl)(Cl)Cl,34.6
24a,CC(C)CCC[C@@H](C)[C@H]1CCC2C3CC[C@H]4C[C@](B5Nc6cccc7cccc(c67)N5)(B5OC(C)(C)C(C)(C)O5)CC[C@]4(C)C3CC[C@@]21C,10-1039_c5ob01523e,128.3,[2H]C(Cl)(Cl)Cl,32.3
24B,CC(C)CCC[C@@H](C)[C@H]1CCC2C3CC[C@H]4C[C@@](B5Nc6cccc7cccc(c67)N5)(B5OC(C)(C)C(C)(C)O5)CC[C@]4(C)C3CC[C@@]21C,10-1039_c5ob01523e,128.3,[2H]C(Cl)(Cl)Cl,28.2
1a,Cc1ccc(N=C(N(B2OC(C)(C)C(C)(C)O2)c2ccc(C)cc2)P(c2ccccc2)c2ccccc2)cc1,10-1039_c7dt02305g,128,[2H]C(Cl)(Cl)Cl,21.8
11a,CC1(C)OB(N(C(=S)P(c2ccccc2)c2ccccc2)C2CCCCC2)OC1(C)C,10-1039_c7dt02305g,128,[2H]C(Cl)(Cl)Cl,24.4
